"UM_CODE";"UM_NAMEF";"global_id";"UM_NAMES";"UM_TRANS";"UM_TYPE";"UM_TM";"UM_TE";"UM_KLADR";
"002646";"Бурцевская улица";"58485450";"Бурцевская ул.";"Burczevskaya ulicza";"001";"";"0212";"77000000000091700";
"002660";"улица Бусиновская Горка";"58485451";"ул. Бусиновская Горка";"ulicza Businovskaya Gorka";"001";"";"0209";"77000000000033600";
"002665";"Бусиновский проезд";"58485452";"Бусиновский пр.";"Businovskij proezd";"003";"";"0209";"77000000000431000";
"002670";"Бутиковский переулок";"58485453";"Бутиковский пер.";"Butikovskij pereulok";"002";"";"0109";"77000000000091800";
"002680";"улица Бутлерова";"58485454";"ул. Бутлерова";"ulicza Butlerova";"001";"";"0704";"77000000000091900";
"002690";"Бутовская улица";"58485455";"Бутовская ул.";"Butovskaya ulicza";"001";"";"0606";"77000000000353600";
"002695";"Большая Бутовская улица";"58485456";"Б. Бутовская ул.";"Bol`shaya Butovskaya ulicza";"001";"";"0711";"77000000000092000";
"002700";"Бутырская улица";"58485457";"Бутырская ул.";"Buty'rskaya ulicza";"001";"";"0213;0215;0305";"77000000000092100";
"002710";"улица Бутырский Вал";"58485458";"ул. Бутырский Вал";"ulicza Buty'rskij Val";"001";"";"0108";"77000000000053500";
"002749";"1-я улица Бухвостова";"58485459";"1-я ул. Бухвостова";"Pervaya ulicza Buxvostova";"001";"";"0415";"77000000000326000";
"002750";"2-я улица Бухвостова";"58485460";"2-я ул. Бухвостова";"Vtoraya ulicza Buxvostova";"001";"";"0415";"77000000000092300";
"002751";"3-я улица Бухвостова";"58485461";"3-я ул. Бухвостова";"Tret`ya ulicza Buxvostova";"001";"";"0415";"77000000000326100";
"002770";"улица Вавилова";"58485462";"ул. Вавилова";"ulicza Vavilova";"001";"";"0610;0701;0702;0706";"77000000000092400";
"002780";"Вагоноремонтная улица";"58485463";"Вагоноремонтная ул.";"Vagonoremontnaya ulicza";"001";"";"0208";"77000000000092500";
"002790";"Вадковский переулок";"58485464";"Вадковский пер.";"Vadkovskij pereulok";"002";"";"0108";"77000000000053400";
"002795";"Валдайский проезд";"58485465";"Валдайский пр.";"Valdajskij proezd";"003";"";"0211";"77000000000092600";
"002797";"Валаамская улица";"58485466";"Валаамская ул.";"Valaamskaya ulicza";"001";"";"0215;0305";"77000000000782100";
"002800";"Валовая улица";"58485467";"Валовая ул.";"Valovaya ulicza";"001";"";"0103";"77000000000092700";
"002810";"Варваринская улица";"58485468";"Варваринская ул.";"Varvarinskaya ulicza";"001";"";"0816";"77000000000092900";
"002812";"площадь Варварские Ворота";"58485469";"пл. Варварские Ворота";"ploshhad` Varvarskie Vorota";"004";"";"0107;0108";"77000000000364100";
"002815";"улица Академика Варги";"58485470";"ул. Академика Варги";"ulicza Akademika Vargi";"001";"";"0709";"77000000000093100";
"002820";"Варсонофьевский переулок";"58485471";"Варсонофьевский пер.";"Varsonof`evskij pereulok";"002";"";"0105";"77000000000093200";
"002830";"1-й Варшавский проезд";"58485472";"1-й Варшавский пр.";"Pervy'j Varshavskij proezd";"003";"";"0612";"77000000000047400";
"002840";"2-й Варшавский проезд";"58485473";"2-й Варшавский пр.";"Vtoroj Varshavskij proezd";"003";"";"0612";"77000000000047500";
"002850";"Варшавское шоссе";"58485474";"Варшавское ш.";"Varshavskoe shosse";"006";"737010";"0610;0613;0615;0619;0620;0621;0708;0711;1111";"77000000000047600";
"002905";"улица Маршала Василевского";"58485475";"ул. Маршала Василевского";"ulicza Marshala Vasilevskogo";"001";"";"0907";"77000000000093300";
"002910";"Васильевская улица";"58485476";"Васильевская ул.";"Vasil`evskaya ulicza";"001";"";"0106;0108";"77000000000093700";
"002920";"площадь Васильевский Спуск";"58485477";"пл. Васильевский Спуск";"ploshhad` Vasil`evskij Spusk";"004";"";"0108";"77000000000415400";
"002927";"Васильцовский переулок";"58485478";"Васильцовский пер.";"Vasil`czovskij pereulok";"002";"";"0513";"77000000000739400";
"002928";"улица Васильцовский Стан";"58485479";"ул. Васильцовский Стан";"ulicza Vasil`czovskij Stan";"001";"";"0513";"77000000000732400";
"002930";"переулок Васнецова";"58485480";"пер. Васнецова";"pereulok Vasneczova";"002";"";"0105";"77000000000093800";
"002940";"Большой Ватин переулок";"58485481";"Б. Ватин пер.";"Bol`shoj Vatin pereulok";"002";"";"0107";"77000000000093900";
"002950";"улица Ватутина";"58485482";"ул. Ватутина";"ulicza Vatutina";"001";"";"0819";"77000000000094000";
"003030";"Большой Николопесковский переулок";"58485483";"Б. Николопесковский пер.";"Bol`shoj Nikolopeskovskij pereulok";"002";"";"0101";"77000000000720700";
"003040";"улица Введенского";"58485484";"ул. Введенского";"ulicza Vvedenskogo";"001";"";"0704";"77000000000094200";
"003060";"Ведерников переулок";"58485485";"Ведерников пер.";"Vedernikov pereulok";"002";"";"0107";"77000000000094300";
"003070";"Веерная улица";"58485486";"Веерная ул.";"Veernaya ulicza";"001";"";"0820";"77000000000094400";
"003080";"Вековая улица";"58485487";"Вековая ул.";"Vekovaya ulicza";"001";"";"0107";"77000000000094500";
"003090";"Велозаводская улица";"58485488";"Велозаводская ул.";"Velozavodskaya ulicza";"001";"";"0515;0609";"77000000000016200";
